Scraping_Date,Type,Description,Bedrooms,Bathrooms,Area,Down Payment,Location,Price
2025-03-31,Apartment,"Apartment for sale in Reve Du Nil in Maadi, direct view of the Nile, fully finished with appliances and furniture",1,1,76 Sq. M.,N/A,"Reve du nil, Maadi, Cairo","3,680,000"
2025-03-31,Duplex,"Own your apartment in the best location in New Cairo, directly behind Waterway, just one minute from Mohamed Naguib Axis.",4,3,223 Sq. M.,N/A,"Al Ashrafiya, 1st Settlement, New Cairo, Cairo","8,117,500"
2025-03-31,Apartment,"Own your apartment in the best location in New Cairo, directly behind Waterway, just one minute from Mohamed Naguib Axis.",3,3,185 Sq. M.,N/A,"Al Ashrafiya, 1st Settlement, New Cairo, Cairo","6,833,000"
2025-03-31,Apartment,"Own your apartment in the best location in New Cairo, directly behind Waterway.",3,3,160 Sq. M.,N/A,"Al Ashrafiya, 1st Settlement, New Cairo, Cairo","6,550,400"
2025-03-31,Apartment,"Own your apartment in the best location in New Cairo, directly behind Waterway.",2,2,120 Sq. M.,N/A,"Al Ashrafiya, 1st Settlement, New Cairo, Cairo","4,421,500"
2025-03-31,Apartment,Receive your apartment in the best location next to the British University.,3,3,160 Sq. M.,N/A,"Entrada, New Capital City, Cairo","5,828,550"
2025-03-31,Apartment,"Own your fully finished apartment with a Spanish design in New Garden City, New Administrative Capital.",3,3,225 Sq. M.,N/A,"New Garden City, New Capital City, Cairo","7,251,000"
2025-03-31,Apartment,"Own your fully finished apartment with a Spanish design in New Garden City, New Administrative Capital.",3,2,168 Sq. M.,N/A,"New Garden City, New Capital City, Cairo","5,572,000"
2025-03-31,Apartment,"Own your fully finished apartment with a Spanish design in New Garden City, New Administrative Capital.",2,2,135 Sq. M.,N/A,"New Garden City, New Capital City, Cairo","4,801,500"
2025-03-31,Apartment,"Own your apartment in the best location in the New Administrative Capital, directly facing the Iconic Tower, with a discount of up to 45%!",2,3,158 Sq. M.,N/A,"Al Maqsad, New Capital City, Cairo","3,696,000"
2025-03-31,Apartment,"Receive your apartment immediately, fully finished, in the best location directly in front of the Iconic Tower and next to the Sports City.",3,3,181 Sq. M.,N/A,"Al Maqsad, New Capital City, Cairo","4,769,050"
2025-03-31,Apartment,"Receive your apartment immediately, fully finished, directly in front of the Iconic Tower.",3,3,171 Sq. M.,N/A,"Al Maqsad, New Capital City, Cairo","4,730,000"
2025-03-31,Apartment,"fully finished, ready-to-move-in apartment, immediately available and close to all the services of the capital.",3,3,161 Sq. M.,N/A,"Al Maqsad, New Capital City, Cairo","4,305,400"
2025-03-31,Apartment,"Luxury 4-room apartment at half price, with a full view of the garden, for sale in Taj City Compound, in the best location in front of Cairo Airport",4,4,208 Sq. M.,N/A,"Taj City Compound, 1st Settlement, New Cairo, Cairo","6,800,000"
2025-03-31,Duplex,"Ground floor duplex with garden for sale in Kali Coast Village, Ras El Hekma area, North Coast, east facing, on the lagoon",2,3,122 Sq. M.,"Down payment: EGP 3,550,000","Cali Coast, North Coast, Matruh","8,046,096"
2025-03-31,Townhouse,Townhouse in a prime location in Sheikh Zayed in front of Emaar,4,4,220 Sq. M.,0% Down Payment,"Solana, Sheikh Zayed, Giza","27,900,000"
