Scraping_Date,Type,Description,Bedrooms,Bathrooms,Area,Down Payment,Price,Location
2025-03-31,Apartment,Apartment for Sale in South Academy from the Owning Company Directly*,3,3, 240 sqm,Cash,"8,990,000 EGP","Area F, Ganoob El Acadimia, New Cairo City, Cairo"
2025-03-31,Duplex,"Duplex 10% DP,10 Years Installments",3,3, 256 sqm," 1,513,000 EGP","15,133,000 EGP","MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo"
2025-03-31,Apartment,Finished Studio for sale in Palm Hills New Cairo,studio,1, 70 sqm,Cash,"5,453,000 EGP","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,sky loft for sale in mv club park prime location,3,2, 135 sqm,Cash,"5,500,000 EGP","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Townhouse,Townhouse Fully Finished - Prime Location -Burouj,3,3, 164 sqm,Cash,"10,500,000 EGP","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo"
2025-03-31,Apartment,↩️ 》3BR with special discount in Palm Hills 《 RTM✅,3,3, 174 sqm,Cash,"14,850,000 EGP","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Duplex,"Duplex in a prime location, zero-interest plans",4,4, 284 sqm,Cash,"3,900,000 EGP","Al Khamayel city, Sheikh Zayed Compounds, Sheikh Zayed City, Giza"
2025-03-31,Villa,for sale villa m very attrictive price,3,2, 165 sqm,Cash,"8,500,000 EGP","Stella Heights, Al Alamein, North Coast"
2025-03-31,Apartment,Apartment for sale under market price in MVHP,3,2, 161 sqm,Cash,"10,500,000 EGP","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,APT Finished Lagoon View 3BR Over12Y Ever NewCairo,3,2, 170 sqm," 674,800 EGP","13,496,000 EGP","Ever New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
